SiteID,2482451,Site Timezone,-4,Data Timezone,-4,Longitude,-66.5952453613,Latitude,41.1015663147
Year,Month,Day,Hour,Minute,wind direction at 100m (deg),wind speed at 100m (m/s)
2011,1,1,0,0,257.83,9.89
2011,1,1,0,5,257.58,9.870000000000001
2011,1,1,0,10,257.18,9.85
2011,1,1,0,15,256.98,9.85
2011,1,1,0,20,256.96,9.82
2011,1,1,0,25,257.19,9.72
2011,1,1,0,30,257.38,9.68
2011,1,1,0,35,257.55,9.67
2011,1,1,0,40,257.79,9.66
2011,1,1,0,45,257.71,9.66
2011,1,1,0,50,257.6,9.67
2011,1,1,0,55,257.62,9.68
2011,1,1,1,0,257.51,9.68
2011,1,1,1,5,257.54,9.73
2011,1,1,1,10,257.44,9.85
2011,1,1,1,15,257.13,9.91
2011,1,1,1,20,256.95,9.950000000000001
2011,1,1,1,25,256.93,9.950000000000001
2011,1,1,1,30,256.74,10.040000000000001
2011,1,1,1,35,256.59000000000003,10
2011,1,1,1,40,256.78000000000003,9.91
2011,1,1,1,45,256.68,9.93
2011,1,1,1,50,256.46,9.98
2011,1,1,1,55,256.15,10.1
2011,1,1,2,0,255.95000000000002,10.18
2011,1,1,2,5,255.94,10.16
2011,1,1,2,10,255.93,10.120000000000001
2011,1,1,2,15,256.01,10.14
2011,1,1,2,20,256.14,10.05
2011,1,1,2,25,256.23,10.03
2011,1,1,2,30,256.31,10.14
2011,1,1,2,35,256.29,10.22
2011,1,1,2,40,256.38,10.27
2011,1,1,2,45,256.31,10.27
2011,1,1,2,50,256.27,10.34
2011,1,1,2,55,256.38,10.42
2011,1,1,3,0,256.51,10.6
2011,1,1,3,5,256.65,10.67
2011,1,1,3,10,257.01,10.76
2011,1,1,3,15,257.16,10.77
2011,1,1,3,20,257.26,10.72
2011,1,1,3,25,257.43,10.77
2011,1,1,3,30,257.51,10.76
2011,1,1,3,35,257.52,10.78
2011,1,1,3,40,257.31,10.89
2011,1,1,3,45,257.23,10.97
2011,1,1,3,50,257.46,10.9
2011,1,1,3,55,257.54,10.9
2011,1,1,4,0,257.28000000000003,10.86
2011,1,1,4,5,256.87,10.86
2011,1,1,4,10,256.58,10.75
2011,1,1,4,15,256.41,10.78
2011,1,1,4,20,256.32,10.86
2011,1,1,4,25,256.25,10.790000000000001
2011,1,1,4,30,256.07,10.8
2011,1,1,4,35,255.84,10.85
2011,1,1,4,40,255.68,11.01
2011,1,1,4,45,255.82,11.07
2011,1,1,4,50,256.24,11.01
2011,1,1,4,55,256.41,11.05
2011,1,1,5,0,256.43,11.18
2011,1,1,5,5,256.54,11.19
2011,1,1,5,10,256.64,11.040000000000001
2011,1,1,5,15,256.59000000000003,10.93
2011,1,1,5,20,256.81,10.74
2011,1,1,5,25,256.83,10.74
2011,1,1,5,30,257.02,10.57
2011,1,1,5,35,257.26,10.5
2011,1,1,5,40,257.33,10.39
2011,1,1,5,45,257.54,10.450000000000001
2011,1,1,5,50,257.9,10.450000000000001
2011,1,1,5,55,258.22,10.290000000000001
2011,1,1,6,0,258.58,10.370000000000001
2011,1,1,6,5,258.98,10.4
2011,1,1,6,10,259.29,10.34
2011,1,1,6,15,259.24,10.46
2011,1,1,6,20,259.31,10.42
2011,1,1,6,25,259.07,10.4
2011,1,1,6,30,259.05,10.44
2011,1,1,6,35,259.11,10.25
2011,1,1,6,40,259.48,10.18
2011,1,1,6,45,259.71,10.14
2011,1,1,6,50,259.77,10.22
2011,1,1,6,55,260.03000000000003,10.21
2011,1,1,7,0,260.53000000000003,10.08
2011,1,1,7,5,260.99,10.02
2011,1,1,7,10,261.37,9.950000000000001
2011,1,1,7,15,261.69,10.02
2011,1,1,7,20,261.78000000000003,10.06
2011,1,1,7,25,262.15,9.98
2011,1,1,7,30,262.32,9.96
2011,1,1,7,35,262.22,10.040000000000001
2011,1,1,7,40,262.49,10
2011,1,1,7,45,262.28000000000003,10.02
2011,1,1,7,50,262.29,10.1
2011,1,1,7,55,262.45,10.08
2011,1,1,8,0,262.48,10.27
2011,1,1,8,5,262.86,10.25
2011,1,1,8,10,262.88,10.35
2011,1,1,8,15,262.87,10.48
2011,1,1,8,20,262.98,10.450000000000001
2011,1,1,8,25,262.6,10.53
2011,1,1,8,30,262.27,10.47
2011,1,1,8,35,262.32,10.44
2011,1,1,8,40,262.67,10.36
2011,1,1,8,45,262.59000000000003,10.42
2011,1,1,8,50,262.84000000000003,10.28
2011,1,1,8,55,263.15,10.14
2011,1,1,9,0,263.13,10.23
2011,1,1,9,5,263.32,10.24
2011,1,1,9,10,263.33,10.27
2011,1,1,9,15,263.65,10.24
2011,1,1,9,20,264.07,10.26
2011,1,1,9,25,264.15,10.31
2011,1,1,9,30,264.38,10.3
2011,1,1,9,35,264.53000000000003,10.21
2011,1,1,9,40,264.56,10.24
2011,1,1,9,45,264.83,10.18
2011,1,1,9,50,264.99,10.200000000000001
2011,1,1,9,55,265.26,10.17
2011,1,1,10,0,265.65,10.21
2011,1,1,10,5,266.37,10.14
2011,1,1,10,10,267.02,10.05
2011,1,1,10,15,267.79,9.950000000000001
2011,1,1,10,20,268.29,9.85
2011,1,1,10,25,268.23,9.89
2011,1,1,10,30,268.61,9.81
2011,1,1,10,35,269.1,9.700000000000001
2011,1,1,10,40,269.41,9.67
2011,1,1,10,45,269.79,9.63
2011,1,1,10,50,270.62,9.51
2011,1,1,10,55,271.54,9.32
2011,1,1,11,0,271.96,9.27
2011,1,1,11,5,272.18,9.3
2011,1,1,11,10,272.43,9.28
2011,1,1,11,15,272.95,9.16
2011,1,1,11,20,273.07,9.120000000000001
2011,1,1,11,25,272.99,9.08
2011,1,1,11,30,272.89,9.06
2011,1,1,11,35,272.81,9.05
2011,1,1,11,40,272.78000000000003,9.02
