SiteID,1659495,Site Timezone,-6,Data Timezone,-6,Longitude,-88.3645935059,Latitude,43.415473938
Year,Month,Day,Hour,Minute,wind direction at 100m (deg),wind speed at 100m (m/s)
2011,1,1,0,0,252.08,8.86
2011,1,1,0,5,253.03,9.23
2011,1,1,0,10,252.59,9.48
2011,1,1,0,15,254.21,9.75
2011,1,1,0,20,257.15,9.88
2011,1,1,0,25,258.85,9.91
2011,1,1,0,30,259.85,9.92
2011,1,1,0,35,258.94,10.08
2011,1,1,0,40,258.42,10.78
2011,1,1,0,45,260.08,11.36
2011,1,1,0,50,257.86,11.47
2011,1,1,0,55,254.8,11.5
2011,1,1,1,0,253.3,11.57
2011,1,1,1,5,253.14000000000001,11.32
2011,1,1,1,10,252.68,10.64
2011,1,1,1,15,249.11,10.1
2011,1,1,1,20,245.23000000000002,10.33
2011,1,1,1,25,243.29,11.11
2011,1,1,1,30,244.32,11.89
2011,1,1,1,35,245.53,12.4
2011,1,1,1,40,246.13,12.780000000000001
2011,1,1,1,45,246.91,12.99
2011,1,1,1,50,247.33,13.05
2011,1,1,1,55,248.42000000000002,12.99
2011,1,1,2,0,248.33,12.700000000000001
2011,1,1,2,5,247,12.21
2011,1,1,2,10,244.49,11.69
2011,1,1,2,15,241.23000000000002,11.51
2011,1,1,2,20,239.36,11.4
2011,1,1,2,25,239.23000000000002,11.11
2011,1,1,2,30,240.1,10.5
2011,1,1,2,35,235.8,10.25
2011,1,1,2,40,230.3,10.26
2011,1,1,2,45,230.32,10.64
2011,1,1,2,50,233.88,11.21
2011,1,1,2,55,236.76,11.59
2011,1,1,3,0,236.21,11.88
2011,1,1,3,5,234.26,12.58
2011,1,1,3,10,232.57,12.98
2011,1,1,3,15,230.70000000000002,12.72
2011,1,1,3,20,229.97,12.42
2011,1,1,3,25,229.84,12.290000000000001
2011,1,1,3,30,229.95000000000002,12.290000000000001
2011,1,1,3,35,229.77,12.38
2011,1,1,3,40,229.47,12.55
2011,1,1,3,45,229.37,12.68
2011,1,1,3,50,229.05,12.620000000000001
2011,1,1,3,55,228.54,12.61
2011,1,1,4,0,228.26,12.68
2011,1,1,4,5,228.87,12.73
2011,1,1,4,10,229.15,12.81
2011,1,1,4,15,229.29,13.030000000000001
2011,1,1,4,20,229.65,13.280000000000001
2011,1,1,4,25,229.87,13.34
2011,1,1,4,30,230.22,13.25
2011,1,1,4,35,230.41,13.14
2011,1,1,4,40,230.48000000000002,13.06
2011,1,1,4,45,230.77,12.94
2011,1,1,4,50,231.16,12.790000000000001
2011,1,1,4,55,231.34,12.66
2011,1,1,5,0,230.42000000000002,12.5
2011,1,1,5,5,229.36,12.46
2011,1,1,5,10,228.4,12.41
2011,1,1,5,15,228.38,12.3
2011,1,1,5,20,228.11,12.290000000000001
2011,1,1,5,25,226.76,12.290000000000001
2011,1,1,5,30,226.87,12.33
2011,1,1,5,35,226.97,12.33
2011,1,1,5,40,225.85,12.06
2011,1,1,5,45,224.51,11.790000000000001
2011,1,1,5,50,221.93,11.61
2011,1,1,5,55,218.4,12.15
2011,1,1,6,0,222.14000000000001,13.6
2011,1,1,6,5,228.37,15
2011,1,1,6,10,230.95000000000002,15.21
2011,1,1,6,15,230.8,14.43
2011,1,1,6,20,229.37,13.56
2011,1,1,6,25,226.65,13.08
2011,1,1,6,30,225.61,12.88
2011,1,1,6,35,225.37,12.94
2011,1,1,6,40,224.89000000000001,13.3
2011,1,1,6,45,225.36,13.67
2011,1,1,6,50,225.89000000000001,14.02
2011,1,1,6,55,226.53,14.15
2011,1,1,7,0,227.39000000000001,14.200000000000001
2011,1,1,7,5,228.02,14.21
2011,1,1,7,10,228.06,14.11
2011,1,1,7,15,227.56,13.93
2011,1,1,7,20,227.84,13.780000000000001
2011,1,1,7,25,228.04,13.66
2011,1,1,7,30,227.15,13.52
2011,1,1,7,35,226.16,13.39
2011,1,1,7,40,225.98000000000002,13.15
2011,1,1,7,45,226.05,12.950000000000001
2011,1,1,7,50,226.47,12.89
2011,1,1,7,55,226.47,12.84
2011,1,1,8,0,225.77,12.66
2011,1,1,8,5,223.25,12.51
2011,1,1,8,10,220.82,12.49
2011,1,1,8,15,220.44,13.08
2011,1,1,8,20,221.29,14.39
2011,1,1,8,25,223.35,15.93
2011,1,1,8,30,225.53,16.96
2011,1,1,8,35,226.56,17.2
2011,1,1,8,40,226.78,16.97
2011,1,1,8,45,227.25,16.8
2011,1,1,8,50,227.96,16.64
2011,1,1,8,55,229.03,16.330000000000002
2011,1,1,9,0,230.13,15.94
2011,1,1,9,5,230.72,15.56
2011,1,1,9,10,230.8,15.23
2011,1,1,9,15,229.99,15.02
2011,1,1,9,20,229.54,14.97
2011,1,1,9,25,229.68,14.91
2011,1,1,9,30,229.97,14.790000000000001
2011,1,1,9,35,230.96,14.74
2011,1,1,9,40,231.14000000000001,14.82
2011,1,1,9,45,230.79,14.98
2011,1,1,9,50,231.25,15.09
2011,1,1,9,55,232.17000000000002,15.11
2011,1,1,10,0,232.98000000000002,15.200000000000001
2011,1,1,10,5,233.27,15.41
2011,1,1,10,10,233.24,15.58
2011,1,1,10,15,233.49,15.76
2011,1,1,10,20,233.59,16.05
